115年01月臺北市各里人口數戶數,,,,,,,,,
行政區,里別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數-合計,人口數-男,人口數-女
中山區,埤頭里,1,1,17,17,1585,3136,1480,1656
中山區,朱崙里,1,1,16,16,1492,2848,1284,1564
中山區,力行里,1,1,30,30,2847,5780,2664,3116
中山區,復華里,1,1,24,24,2225,4445,2000,2445
中山區,金泰里,1,1,14,14,3633,8117,3891,4226
中山區,北安里,1,1,12,12,994,2216,1025,1191
中正區,中正區,31,31,582,580,65813,143978,67841,76137
中正區,水源里,1,1,10,10,1398,2825,1289,1536
中正區,富水里,1,1,12,11,983,2211,1100,1111
中正區,文盛里,1,1,10,10,1230,2409,1139,1270
中正區,林興里,1,1,20,20,2296,4630,2137,2493
中正區,河堤里,1,1,19,19,1976,4139,1921,2218
中正區,頂東里,1,1,24,24,2850,5431,2469,2962
中正區,網溪里,1,1,24,24,2662,5450,2520,2930
中正區,板溪里,1,1,14,14,1633,3196,1446,1750
中正區,螢圃里,1,1,26,26,2557,5187,2432,2755
中正區,螢雪里,1,1,18,18,1746,3771,1799,1972
中正區,永功里,1,1,24,24,2614,5811,2836,2975
中正區,永昌里,1,1,21,21,1974,4258,2082,2176
中正區,龍興里,1,1,17,17,1501,3584,1655,1929
中正區,忠勤里,1,1,31,31,2911,5581,2619,2962
中正區,廈安里,1,1,11,11,1821,4391,2074,2317
中正區,愛國里,1,1,15,15,1374,3261,1501,1760
中正區,南門里,1,1,16,16,1046,2575,1172,1403
中正區,龍光里,1,1,14,13,1289,3112,1498,1614
中正區,南福里,1,1,29,29,4923,11610,5537,6073
中正區,龍福里,1,1,21,21,2990,6081,3001,3080
中正區,新營里,1,1,27,27,3235,8281,4017,4264
中正區,建國里,1,1,6,6,802,1807,821,986
中正區,光復里,1,1,14,14,2093,3976,1844,2132
中正區,黎明里,1,1,13,13,1665,3213,1521,1692
中正區,梅花里,1,1,15,15,1408,2842,1315,1527
中正區,幸福里,1,1,19,19,2093,4454,2098,2356
中正區,幸市里,1,1,17,17,1945,4080,1886,2194
中正區,東門里,1,1,15,15,1615,3577,1677,1900
中正區,文北里,1,1,27,27,2490,5849,2721,3128
中正區,文祥里,1,1,23,23,3095,7794,3758,4036
中正區,三愛里,1,1,30,30,3598,8592,3956,4636
大同區,大同區,25,25,526,523,54534,116535,55576,60959
大同區,玉泉里,1,1,15,13,1311,2712,1306,1406
大同區,建明里,1,1,26,26,1771,3280,1530,1750
大同區,建功里,1,1,22,22,2192,4614,2156,2458
大同區,建泰里,1,1,19,19,1668,3566,1660,1906
大同區,永樂里,1,1,25,25,2344,4849,2366,2483
大同區,朝陽里,1,1,17,17,2081,4142,1933,2209
大同區,星明里,1,1,21,21,2620,5666,2623,3043
大同區,光能里,1,1,20,20,2249,5031,2378,2653
大同區,大有里,1,1,19,19,1872,4211,2016,2195
大同區,延平里,1,1,18,18,1908,3677,1739,1938
大同區,雙連里,1,1,32,31,3949,9038,4293,4745
大同區,南芳里,1,1,16,16,1940,4212,1920,2292
大同區,民權里,1,1,25,25,2786,6431,3010,3421
大同區,景星里,1,1,15,15,1089,2290,1124,1166
大同區,隆和里,1,1,19,19,1669,3597,1754,1843
大同區,蓬萊里,1,1,22,22,2303,4830,2284,2546
大同區,國順里,1,1,15,15,1271,2842,1421,1421
大同區,國慶里,1,1,18,18,1981,4412,2056,2356
大同區,揚雅里,1,1,16,16,2350,4008,2152,1856
大同區,斯文里,1,1,21,21,2307,4649,2248,2401
大同區,鄰江里,1,1,29,29,2544,5813,2798,3015
大同區,至聖里,1,1,33,33,3445,7261,3428,3833
大同區,老師里,1,1,22,22,2234,5102,2524,2578
大同區,重慶里,1,1,23,23,2697,6129,2872,3257
大同區,保安里,1,1,18,18,1953,4173,1985,2188
萬華區,萬華區,36,36,728,721,81274,168481,81223,87258
萬華區,福星里,1,1,22,16,2635,4763,2200,2563
萬華區,萬壽里,1,1,13,13,2033,3237,1526,1711
萬華區,西門里,1,1,16,16,2081,3450,1572,1878
萬華區,新起里,1,1,25,25,3514,6674,3097,3577
萬華區,菜園里,1,1,25,25,2929,5714,2783,2931
萬華區,青山里,1,1,25,25,2952,5639,2765,2874
萬華區,富民里,1,1,21,21,2392,4588,2210,2378
萬華區,福音里,1,1,15,15,2035,3811,1796,2015
萬華區,仁德里,1,1,18,18,2290,4520,2147,2373
萬華區,富福里,1,1,19,19,3434,5771,3208,2563
萬華區,頂碩里,1,1,29,29,2929,6252,3106,3146
萬華區,雙園里,1,1,21,21,2135,4673,2273,2400
