O12,BR15,29,"BL14,BR10"
BL10,G18,22,"G12"
R08,O05,1,""
BR19,Y09,57,"BL15,O07,Y11"
R18,BL01,49,"BL12"
O12,BR16,32,"BL14,BR10"
BL10,G19,25,"G12"
BL22,O08,20,"O07"
G12,Y12,26,"O05,Y11"
BR19,Y10,55,"BL15,O07,Y11"
R18,BL02,45,"BL12"
O12,BR17,33,"BL14,BR10"
BL10,O01,24,"G12,O05"
BL22,O09,22,"O07"
R18,BL03,43,"BL12"
R08,O06,3,""
G12,Y13,30,"Y17"
BR19,Y11,43,"BL15,O07"
O12,BR18,35,"BL14,BR10"
BL22,O10,24,"O07"
R18,BL04,41,"BL12"
BL10,O02,22,"G12,O05"
BR19,Y12,54,"BL15,O07,Y11"
G12,Y14,28,"Y17"
O12,BR19,36,"BL14,BR10"
R18,BL05,36,"BL12"
BL10,O03,20,"G12,O05"
R08,O07,10,"BL12"
BL22,O11,26,"O07"
O12,BR20,38,"BL14,BR10"
BR19,Y13,56,"BL15,O07,Y11"
R18,BL06,33,"BL12"
G12,Y15,26,"Y17"
BL10,O04,18,"G12,O05"
BL22,O12,27,"O07"
O12,BR21,39,"BL14,BR24"
BR19,Y14,57,"BL15,O07,Y11"
R18,BL07,32,"BL12"
G12,Y16,10,""
BL10,O05,12,"G12"
BL22,O13,35,"O07"
R08,O08,10,""
O12,BR22,37,"BL14,BR24"
BR19,Y15,59,"BL15,Y17"
R18,BL08,29,"BL12"
BL22,O14,37,"O07"
G12,Y17,8,""
BR19,Y16,41,"BL15"
BL10,O06,15,"O07"
O12,BR23,36,"BL14,BR24"
R18,BL09,27,"BL12"
R08,O09,14,"O11"
BL22,O15,39,"O07"
BR19,Y17,38,"BL15"
R18,BL10,23,"BL12"
BL22,O16,42,"O07"
BL10,O07,9,""
R08,O10,12,"O11"
O12,BR24,30,"BL14"
G12,Y18,20,"Y17"
BR19,Y18,53,"BL15,Y17"
R18,BL11,20,"G14"
BL22,O17,44,"O07"
BL10,O08,14,"O07"
G12,Y19,22,"Y17"
BR19,Y19,55,"BL15,Y17"
O12,Y07,27,"R13,G10"
BL10,O09,16,"O07"
R08,O11,8,""
BL22,O18,46,"O07"
O12,Y08,36,"Y11"
R18,BL12,15,""
BL10,O10,18,"O07"
G12,Y20,23,"Y17"
BR19,Y20,56,"BL15,Y17"
BL22,O19,49,"O07"
R18,BL13,22,"BL12"
R08,O12,13,"O11"
O12,Y09,33,"Y11"
BR20,BR21,2,""
BL10,O11,15,"R10"
BL22,O20,51,"O07"
G13,G14,2,""
O12,Y10,32,"Y11"
R08,O13,16,"O11"
R18,BL14,20,"O11"
BR20,BR22,3,""
BL22,O21,55,"O07"
BL10,O12,21,"O07"
O12,Y11,23,""
R08,O14,18,"O11"
G13,G15,4,""
BR20,BR23,5,""
BL10,O13,28,"O07"
BL22,O50,30,"O07"
R18,BL15,26,"BL12"
O12,Y12,38,"Y11"
R22A,G12,-1,"ERROR"
R08,O15,20,"O11"
R18,BL16,28,"BL12"
BL10,O14,31,"O07"
G13,G16,6,""
BL22,O51,33,"O07"
BR20,BR24,7,""
O12,Y13,36,"Y18"
R18,BL17,29,"BL12"
BL22,O52,35,"O07"
BL10,O15,32,"O07"
G13,G17,8,""
R08,O16,23,"O11"
O12,Y14,34,"Y18"
BR20,Y07,52,"G16"
R18,BL18,31,"BL12"
G13,G18,10,""
BL22,O53,37,"O07"
BL10,O16,35,"O07"
O12,Y15,32,"Y18"
BR20,Y08,61,"BL15,O07,Y11"
R08,O17,25,"O11"
R18,BL19,33,"BL12"
G13,G19,13,""
BL22,O54,39,"O07"
BL10,O17,22,"Y17"
O12,Y16,27,"BL14"
BR20,Y09,59,"BL15,O07,Y11"
R18,BL20,34,"BL12"
G13,O01,19,"O05"
R08,O18,27,"O11"
O12,Y17,24,"BL14"
BL10,O18,34,"O07"
BR20,Y10,57,"BL15,O07,Y11"
R18,BL21,37,"BL12"
BL23,O11,28,"O07"
BL10,O19,37,"O07"
G13,O02,17,"O05"
R08,O19,30,"O11"
O12,Y18,11,""
BR20,Y11,45,"BL15,O07"
R18,BL22,39,"BL12"
BL10,O20,40,"O07"
G13,O03,15,"O05"
R08,O20,32,"O11"
O12,Y19,20,"Y18"
BR20,Y12,56,"BL15,O07,Y11"
BL23,O12,29,"O07"
G13,O04,13,"O05"
BL10,O21,43,"O07"
R18,BL23,44,"BL12"
O12,Y20,21,"Y18"
BR20,Y13,58,"BL15,O07,Y11"
BL10,O50,28,"O07"
R18,G01,39,"G10"
R08,O21,35,"O11"
BL23,O13,37,"O07"
O13,O14,1,""
G13,O05,7,""
BL10,O51,31,"O07"
BR20,Y14,59,"BL15,O07,Y11"
R18,G02,36,"G10"
O13,O15,3,""
R08,O50,21,"O11"
BL10,O52,33,"O07"
BL23,O14,39,"O07"
BR20,Y15,61,"BL15,Y17"
G13,O06,13,"O05"
R18,G03,34,"G10"
O13,O16,6,""
BL10,O53,35,"O07"
BR20,Y16,43,"BL15"
BL23,O15,41,"O07"
R08,O51,23,"O11"
R18,G03A,43,"G10,G03"
G13,O07,11,"O08"
O13,O17,8,""
BR20,Y17,40,"BL15"
BL10,O54,37,"O07"
R22A,G13,-1,"ERROR"
BL23,O16,44,"O07"
R08,O52,25,"O11"
R18,G04,32,"G10"
G13,O08,4,""
O13,O18,10,""
BR20,Y18,55,"BL15,Y17"
BL10,BR01,33,"BR10"
R18,G05,30,"G10"
R08,O53,27,"O11"
G13,O09,11,"O08"
O13,O19,13,""
BL10,BR02,31,"BR10"
R18,G06,28,"G10"
BR20,Y19,57,"BL15,Y17"
BL23,O17,46,"O07"
O13,O20,15,""
G13,O10,10,"R11,O11"
BL10,BR03,30,"BR10"
R08,O54,30,"O11"
BR20,Y20,58,"BL15,Y17"
R18,G07,26,"G10"
O13,O21,19,""
BL23,O18,48,"O07"
BL10,BR04,28,"BR10"
G13,O11,6,"R11"
BR21,BR22,1,""
R18,G08,24,"G10"
R08,BR01,30,"BR09"
O13,O50,9,""
BL10,BR05,26,"BR10"
G13,O12,11,"R11,O11"
R18,G09,22,"G10"
BR21,BR23,3,""
O13,O51,12,""
BL23,O19,51,"O07"
BL10,BR06,23,"BR10"
G13,O13,14,"R11,O11"
R08,BR02,28,"BR09"
O13,O52,13,""
BL10,BR07,22,"BR10"
BR21,BR24,5,""
R18,G10,19,""
BL23,O20,53,"O07"
G13,O14,16,"R11,O11"
BL10,BR08,19,"BR10"
R08,BR03,27,"BR09"
O13,O53,15,""
G13,O15,18,"R11,O11"
R18,G11,24,"G10"
BR21,Y07,57,"G16"
BL23,O21,57,"O07"
R18,G12,23,"G14"
O13,O54,18,""
R08,BR04,25,"BR09"
G13,O16,21,"R11,O11"
BL10,BR09,17,"BR10"
BR21,Y08,67,"BL15,O07,Y11"
R18,G13,21,"G14"
BL23,O50,32,"O07"
O13,BR01,41,"BL14,BR10"
G13,O17,23,"R11,O11"
BR21,Y09,64,"BL15,O07,Y11"
BL10,BR10,10,""
R08,BR05,23,"BR09"
R18,G14,13,""
O13,BR02,40,"BL14,BR10"
G13,O18,25,"R11,O11"
BL23,O51,35,"O07"
BR21,Y10,62,"BL23,O07,Y11"
O13,BR03,38,"BL14,BR10"
R18,G15,18,"G14"
R08,BR06,20,"BR09"
BL10,BR11,13,"G12"
G13,O19,28,"R11,O11"
O13,BR04,36,"BL14,BR10"
BL10,BR12,19,"BR10"
G13,O20,30,"R11,O11"
BR21,Y11,47,"BL23,O07"
BL23,O52,37,"O07"
R18,G16,20,"G14"
R08,BR07,18,"BR09"
O13,BR05,34,"BL14,BR10"
G13,O21,33,"R11,O11"
BL10,BR13,22,"BR10"
BR21,Y12,61,"BL15,O07,Y11"
R18,G17,21,"G14"
O13,BR06,31,"BL14,BR10"
BL23,O53,39,"O07"
G13,O50,19,"O08"
BL10,BR14,25,"BR10"
BR21,Y13,62,"BL23,Y17"
R08,BR08,16,"BR09"
G13,O51,21,"O08"
R18,G18,24,"G14"
O13,BR07,30,"BL14,BR10"
BL10,BR15,27,"BR10"
BL23,O54,41,"O07"
